Scrape Date,Scrape Time,Product Name,Reviews,Status,RAM,Internal Storage,Battery,Main camera,Front camera,Display,Cover display,Processor,Connectivity,Colors,OS,Warranty Info,Region,SKU,Brands,Cover Camera,Operating System,Internal Memory,Chipset,Main Camera,Selfie Camera,Bluetooth,Colorways,Tags,This item,Rear Camera,Inner Camera,Outer Camera,Storage,Camera,Selfie,NB,Front Camera,Length,Type,Current,Color,Material,Weight,Size,g>y,Primary Camera,Rear camera,Selfie camera,Operating system,Colour,Colours,Network,Display Size,Resolution,Secondary Camera,Ports,Screen,Refresh Rate,Fingerprint,Price 1,Price 2
2024-09-28,21:06:45,Samsung Galaxy Z Flip 6,0 Reviews,IN STOCK,12 GB,"256GB, 512GB","4000mAh, 25W",50 MP + 12 MP,10 MP,"6.7 inch, AMOLED, 120Hz","3.9 inch, AMOLED",Qualcomm Snapdragon 8 Gen 3,"Dual SIM, 3G, 4G, 5G, VoLTE, Wi-Fi","Yellow, Silver Shadow, Mint, Blue, Black, White, Peach","Android 14, One UI 6.1.1",Warranty,UAE / Dubai,N/A,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 108,000","KSh 103,000"
2024-09-28,21:06:54,Samsung Galaxy Z Fold 6,0 Reviews,IN STOCK,12GB,"256GB, 512GB, 1TB","4,4000mAh",50MP + 10MP + 12MP,4MP,7.6 inches Super AMOLED display (unfolded); 6.3-inches when folded,,Qualcomm SM8550-AC Snapdragon 8 Gen 3 (4 nm),"Dual SIM, 3G, 4G, 5G, Wi-Fi","Navy, Silver Shadow, Pink, Black, White",,Warranty,UAE / Dubai,N/A,Samsung,10MP,"Android 14, One UI 6.1.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 162,000","KSh 198,000"
2024-09-28,21:07:01,Samsung Galaxy M55,0 Reviews,IN STOCK,8GB,,"5000 mAh, non-removable, 45W",,,,,,5G,,"Android 14, One UI 6.1",,,,Samsung,,,256GB,Qualcomm SM7450-AB Snapdragon 7 Gen 1 (4 nm),50MP + 8MP + 2MP,50MP,"2, A2DP, LE","Dark Blue, Light Green",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 45,000","KSh 41,000"
2024-09-28,21:07:08,Samsung Galaxy A35 5G,,IN STOCK,8GB,256GB,"5,000 mAh",50MP + 8MP + 5MP,13MP,"6.6 inches, 120 Hz",,Exynos 1380 SoC,"Dual SIM, 2G, 3G, 4G, 5G, Wi-Fi","Iceblue, Lilac, Navy","Android 14, One UI 6.1,",Warranty,East Africa,SM-A356ELBMAFB,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 32,000","KSh 40,500"
2024-09-28,21:07:15,Samsung Galaxy A55 5G,0 Reviews,IN STOCK,8GB,"128 GB, 256GB","5,000 mAh",50 MP + 12MP + 5 MP,32MP,"6 inches, 120 Hz",,Exynos 1480 SoC,"Dual SIM, 2G, 3G, 4G, Wi-Fi","Iceblue, Lilac, Navy, Lemon","Android 14, One UI 6.1,",Warranty,East Africa,SM-A556ELBVAFB,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 42,000","KSh 46,500"
2024-09-28,21:07:22,Samsung Galaxy A25 5G,0 Reviews,IN STOCK,8GB,256GB,"5,000 mAh, 25W",50MP + 8MP + 2MP,13 MP,6.5 inch,,Octa-core Exynos 1280 (5 nm),"Dual SIM, 2G, 3G, 4G, 5G, Wi-Fi","Brave Black, Personality Yellow, Fantasy Blue, Optimistic Blue","Android 14, One UI 6",,,SM-A256EZKHAFC,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 27,500","KSh 30,500"
2024-09-28,21:07:29,Samsung Galaxy M15 4G,0 Reviews,IN STOCK,6,,"6,000mAh, 25W",,,6.5-inch Super AMOLED,,MediaTek Helio G99 SoC,4G,,,,,,Samsung,,Android 14-based One UI 6,128,,50MP + 5MP + 2MP,13MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 26,000","KSh 25,000"
2024-09-28,21:07:36,Samsung Galaxy F15 5G,0 Reviews,IN STOCK,4/6GB,,"6000mAh, 25W",,,"6 inches, Super AMOLED",,"Octa-core, Mediatek Dimensity 6100+ (6 nm)",5G,,"Android 14, One UI 6",,,,Samsung,,,128GB,,50MP+5MP+2MP,"13 MP, f/2.0, (wide)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 26,500","KSh 23,500"
2024-09-28,21:07:43,Samsung Galaxy S24 5G,0 Reviews,IN STOCK,8GB,128GB / 256GB / 512GB/1TB,"4,000 mAh",50MP + 10MP + 12MP,12 MP (wide),"6.2 inch + Dynamic LTPO AMOLED 2X, 120Hz, HDR10+, 2600 nits (peak)",,Qualcomm Snapdragon 8 Gen 3 (4nm),"Dual SIM, 3G, 4G, 5G, Wi-Fi","Onyx Black, Marble Grey, Cobalt Violet, Amber Yellow, Jade Green, Sandstone Orange, Sapphire Blue","Android 14, One UI 6.1",Warranty,UAE / Dubai,SM-S921,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 95,500","KSh 87,000"
2024-09-28,21:07:50,Samsung Galaxy S24 Plus,0 Reviews,IN STOCK,12GB,256 / 512GB,4900mAh,50 MP + 10 MP + 12 MP,12 MP,"6.7 inch, AMOLED, 120Hz",,Snapdragon 8 Gen 3 / Exynos 2400,"Dual sim, 2G, 3G, 4G, 5G","Onyx Black, Marble Grey, Cobalt Violet, Amber Yellow, Jade Green, Sandstone Orange, Sapphire Blue","Android 14, One UI 6.1",,East Africa,SM-S926,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 107,000","KSh 102,000"
2024-09-28,21:07:57,Samsung Galaxy S24 Ultra,2 Reviews,IN STOCK,12GB,"256GB, 512GB, 1TB",5000 mAh,200MP + 50MP + 10MP + 10MP,12 MP,6.8 inch + 120Hz AMOLED display,,Qualcomm Snapdragon 8 Gen 3,"Dual SIM, 3G, 4G, 5G, Wi-Fi","Titanium Black, Titanium Gray, Titanium Violet, Titanium Yellow, Titanium Blue, Titanium Green, Titanium Orange","Android 14, One UI 6.1",Warranty,UAE / Dubai,SM-S928UZKEXAA,Samsung,,,,,,,,,,"Samsung Galaxy S24 Ultra KSh 128,000 KSh 120,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 128,000","KSh 120,000"
2024-09-28,21:08:03,Samsung Galaxy A25 4G,0 Reviews,,"6GB, 8GB",128GB,"5,000 mAh, 25W",50MP + 5MP + 2MP,13 MP,6.5 inches,,Mediatek Helio G99 (6nm),"Dual SIM, 2G, 3G, 4G, Wi-Fi","Black, Lime Green, Blue gradient, Dark red","Android 13, upgradable to Android 14, One UI 6",,,,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 37,500",
2024-09-28,21:08:09,Samsung Galaxy A15 4G,2 Reviews,IN STOCK,"4GB, 6GB","64GB, 128GB","5,000 mAh",50MP + 5MP + 2MP,13 MP,6.4 inch,,Mediatek Helio G99 (6nm),"Dual SIM, 2G, 3G, 4G, Wi-Fi","Black, Personality Yellow, Fantasy Blue, Optimistic Blue",Android 14,,,N/A,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 18,500","KSh 24,000"
2024-09-28,21:08:18,Samsung Galaxy A54 5G,0 Reviews,IN STOCK,8GB,256GB,"5,000 mAh",50 MP + 12MP + 5 MP,32MP,"6.46 inches, 120 Hz",,Exynos 1380,"Dual sim, 2G, 3G, 4G, Wi-Fi","Lime, Graphite, Violet, White","Android 13, One UI 5.1",,,,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 47,000","KSh 46,500"
2024-09-28,21:08:25,Samsung Galaxy A24,0 Reviews,IN STOCK,"6GB,",128GB,"5000 mAh, 25W wired",50 MP + 5 MP + 2 MP,13 MP,"6.5 inches, AMOLED, 90Hz",,Mediatek Helio G99,"Dual sim, 3G, 4G, Wi-Fi","Black, Lime Green, Blue gradient, Dark Red","Android 13, One UI 5.1",,,,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 27,500","KSh 27,000"
2024-09-28,21:08:42,Samsung Galaxy A34 5G,2 Reviews,IN STOCK,6GB,128GB,"5,000 mAh with 25W charging",48 MP + 8 MP + 5 MP,13 MP,"6.6 inch, AMOLED, 120Hz",,MediaTek Dimensity 1080,"Dual sim, 3G, 4G, 5G","Lime, Graphite, Violet, Silver","Android 13, One UI 5.1",Warranty,UAE / Dubai,N/A,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 32,000","KSh 36,000"
2024-09-28,21:08:59,Samsung Galaxy S23 FE 5G,3 Reviews,IN STOCK,8GB,256GB,"4,500 mAh",50MP + 8MP + 12MP,12 MP,"6.4 inch, 120Hz AMOLED",,"Exynos 2200 International, Snapdragon 8 Gen 1 – USA","Dual sim, 2G, 3G, 4G, 5G, Wi-Fi","Mint, Cream, Graphite, Purple, Indigo and Tangerine","Android 13, One UI 5.1",Warranty,UAE / Dubai,N/A,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 68,000","KSh 63,000"
2024-09-28,21:09:16,Samsung Galaxy A05,0 Reviews,IN STOCK,4GB,64/128GB,"5,000 mAh",50 MP + 2 MP,8 MP,"6.7 inch, LCD, 90Hz",,Snapdragon 680 4G,"Dual SIM, 2G, 3G, 4G","Black, Silver, Light Green",Android 13,,,N/A,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 13,200","KSh 14,500"
2024-09-28,21:09:35,Samsung Galaxy A05s,3 Reviews,IN STOCK,4GB,128GB,5000 mAh,50 MP + 2 MP+ 2 MP,13 MP,"6.7 inch, LCD, 90Hz",,Snapdragon 680 4G,"Dual sim, 2G, 3G, 4G","Black, Silver, Light Green, Violet",Android 13,Warranty,East Africa,SM-A057FLVDAFC,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 14,500","KSh 16,000"
2024-09-28,21:09:53,Samsung Galaxy Z Flip 5,0 Reviews,IN STOCK,8 GB,"256GB, 512GB","3700 mAh, 25W",12 MP + 12 MP,10 MP,"6.7 inch, AMOLED, 120Hz","3.4 inch, AMOLED",Qualcomm Snapdragon 8 Gen 2,"Dual sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Icy Blue, Phantom Black, Cream, Gray, Blue","Android 13, One UI 5.1.1",Warranty,UAE / Dubai,N/A,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 79,500","KSh 88,500"
2024-09-28,21:10:00,Samsung Galaxy Z Fold 5,0 Reviews,IN STOCK,12 GB,"256GB, 512GB","4,400 mAh",,,"7.6 inch, AMOLED, 120Hz","6.2 inch, AMOLED, 120Hz",Qualcomm Snapdragon 8 Gen 2,"Dual sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Phantom Black, Cream, Icy Blue","Android 13, One UI 5.1.1",Warranty,UAE / Dubai,N/A,Samsung,,,,,,,,,,,50MP + 12MP+ 10MP,4MP,10MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 138,000","KSh 147,000"
2024-09-28,21:10:07,Samsung Galaxy F34 5G,0 Reviews,IN STOCK,"6GB,",,"6,000 mAh",,,"6.5-inch, Super AMOLED, 120Hz, 1000 nits (peak)",,Exynos 1280 (5 nm),"Dual SIM, 5G, Wi-Fi","Electric Black, Mystic Green","Android 13, One UI 5.1",,,,Samsung,,,,,,,,,,,,,,128GB,50MP + 8MP + 2MP,"13 MP, f/2.2, (wide)",This product has no local warranty,,,,,,,,,,,,,,,,,,,,,,,,"KSh 29,000","KSh 26,000"
2024-09-28,21:10:25,Samsung Galaxy F14,0 Reviews,IN STOCK,6GB,128GB,"6,000mAh 25w fast charging",5oMP + 2MP,13MP,6 inches,,Exynos 1330 (5nm),"Dual SIM, up to 5G Connectivity","Black, Green and Purple","Android 13, One UI Core 5.1",,,,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 35,000","KSh 18,500"
2024-09-28,21:10:45,Samsung Galaxy M14 5G,0 Reviews,IN STOCK,6GB,128GB,"6,000 mAh",50MP + 2MP + 2MP,13 MP,6.6 inch,,"Octa-core, Exynos 1330 (5nm)","Dual SIM, 2G, 3G, 4G, 5G, Wi-Fi","Navy Blue, Light Blue, Silver","Android 13, One UI 5.1",,,N/A,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 17,000","KSh 22,000"
2024-09-28,21:11:03,Samsung Galaxy M34 5G,0 Reviews,IN STOCK,"6GB,",,"6,000 mAh",,,"6.5-inch, Super AMOLED, 120Hz, 1000 nits (peak)",,Exynos 1280 (5 nm),"Dual SIM, 5G, Wi-Fi","Midnight Blue, Prism Silver, Waterfall Blue","Android 13, One UI 5.1",,,,Samsung,,,,,,,,,,,,,,128GB,50MP + 8MP + 2MP,"13 MP, f/2.2, (wide)",This product has no local warranty,,,,,,,,,,,,,,,,,,,,,,,,"KSh 40,000","KSh 24,500"
2024-09-28,21:11:25,Samsung Galaxy M54 5G,0 Reviews,IN STOCK,8 GB,256GB,"5,000 mAh",108MP+8MP+2MP,32 MP,"6.7 inches, AMOLED Plus, 120Hz",,Exynos 1380,"Dual sim, 2G, 3G, 4G, 5G, Wi-Fi","Dark Blue, Silver","Android 13, One UI 5.1",,,,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 42,000","KSh 40,000"
2024-09-28,21:12:00,Samsung Galaxy F04,0 Reviews,IN STOCK,4GB,64GB,5000 mAh,13 MP + 2 MP,5 MP,6.5 inch,,MediaTek Helio P35,"Dual sim, 2G, 3G","Black, Copper, Light Blue","Android 12, One UI Core 4.1",,,,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 17,500","KSh 14,500"
2024-09-28,21:12:21,Samsung Galaxy S23 Ultra 5G,0 Reviews,IN STOCK,12GB,256GB/512GB,"5,000 mAh",200MP + 12MP + 10MP + 10MP,12 MP,6.8 inch + 120Hz AMOLED display,,Snapdragon 8 Gen2,"Dual sim, 2G, 3G, 4G, 5G, Wi-Fi","Phantom Black, Cream, Green, Lavender","Android 13, One UI 5.1",Warranty,UAE / Dubai,N/A,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 97,000","KSh 108,000"
2024-09-28,21:12:41,Samsung Galaxy S23 Plus 5G,0 Reviews,IN STOCK,8GB,256GB,4700 mAh,50 MP + 12 MP + 10 MP,12MP,6.6 inch,,Snapdragon 8 Gen2,"Dual sim, 2G, 3G, 4G, 5G","Phantom Black, Cream, Green, Lavender","Android 13, One UI 5.1",Warranty,UAE / Dubai,N/A,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 118,000","KSh 150,000"
2024-09-28,21:12:58,Samsung Galaxy S23 5G,0 Reviews,IN STOCK,8GB,256GB,3900 mAh,50MP + 12MP + 10MP,12 MP,6.1 inch + 120Hz AMOLED display,,Snapdragon 8 Gen2,"Dual sim, 2G, 3G, 4G, 5G, Wi-Fi","Phantom Black, Cream, Green, Lavender","Android 13, One UI 5.1",,,N/A,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 85,000","KSh 83,000"
2024-09-28,21:13:14,Samsung Galaxy A04e,0 Reviews,IN STOCK,3GB,32/ 64GB,5000 mAh,13 MP + 2 MP,5 MP,6.5 inch,,MediaTek Helio G35,"Dual sim, 2G, 3G","Black, Copper, Light Blue","Android 12, One UI Core 4.1",,,,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 13,000","KSh 12,000"
2024-09-28,21:13:22,Samsung Galaxy M04,0 Reviews,IN STOCK,4GB,64GB,5000 mAh,13MP + 2 MP,5 MP,6.5 inch,,Mediatek Helio P35 (12nm),"Dual sim, 2G, 3G, 4G","Sea Glass Green, Shadow Blue","Android 12, One UI Core 4.1",,,,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 16,000","KSh 15,500"
2024-09-28,21:13:29,Samsung Galaxy F13,0 Reviews,IN STOCK,4GB,"64GB, 128GB","6,000mAh",50MP + 5MP + 2MP,8 MP,6.6 inches,,Exynos 850 (8nm),"Dual SIM, Up to 4G Connectivity","Waterfall Blue, Sunrise Copper, and Nightsky Green","Android 12, One UI Core 4.1",,,N/A,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 16,500","KSh 20,500"
2024-09-28,21:13:35,Samsung Galaxy Z Fold 4,0 Reviews,IN STOCK,12 GB,"256GB, 512GB","4,400 mAh",,,7.6 inch,6.2 inch,Qualcomm Snapdragon 8+ Gen 1,"Dual sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Stalwart Phantom Black, Beige, Gray-green","Android 12L, One UI 4.1.1",,,,Samsung,,,,,,,,,,,50MP + 12MP+ 10MP,4MP,10MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 190,000","KSh 140,500"
2024-09-28,21:13:41,Samsung Galaxy M13 4G,,IN STOCK,6GB,128GB,5000 mAh,50MP + 5MP + 2MP,8 MP,6.6 inch,,Exynos 850 (8nm),"Dual sim, 2G, 3G, 4G, Wi-Fi","Deep Green, Orange Copper, Light Blue",Android 12,,,,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 27,500","KSh 26,000"
2024-09-28,21:13:47,Samsung Galaxy F23,0 Reviews,IN STOCK,6GB,128 GB,"5000 mAh, 25W",,,"6.6 inches, IPS LCD, 120Hz",,Qualcomm Snapdragon 750G 5G (8 nm),"Dual sim, 5G, Wi-Fi","Aqua Blue, Forest Green","Android 12, One UI 4.1",,,SM-E236B,Samsung,,,,,50MP + 8MP + 2MP,,,,,,,,,,,,,"8 MP, f/2.2, (wide)",,,,,,,,,,,,,,,,,,,,,,,"KSh 36,000","KSh 30,500"
2024-09-28,21:13:54,Samsung Galaxy S22 5G,0 Reviews,IN STOCK,8GB,256GB,"3,700 mAh",50 MP + 12 MP + 10 MP,10 MP,6.1 inch,,Qualcomm Snapdragon 8 Gen 1,"Dual sim, 2G, 3G, 4G, 5G","Phantom Black, Phantom White, Green, Pink Gold",Android 12,Warranty,UAE / Dubai,SM-S901B/DS,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 66,000","KSh 75,000"
2024-09-28,21:14:04,Samsung Galaxy S22 Ultra 5G,0 Reviews,IN STOCK,12GB,"256GB, 512GB",5000 mAh,108MP + 12MP + 10MP + 10MP,40 MP,6.8 inch + 120Hz AMOLED display,,Qualcomm Snapdragon 8 Gen 1,"Dual sim, 2G, 3G, 4G, 5G, Wi-Fi","Phantom Black, Phantom White, Green, Burgundy",Android 12,Warranty,UAE / Dubai,SM-S908EZKGAFA,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 105,000","KSh 112,000"
2024-09-28,21:14:24,Samsung Galaxy A03 Core,2 Reviews,IN STOCK,2GB,32GB,5000 mAh,8 MP,5 MP,6.5 inch,,Unisoc SC9863A (28nm),"Dual sim, 2G, 3G, 4G","Black, Blue",Android 11 (Go edition),,,SM-A032F/DS,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 16,500","KSh 12,800"
2024-09-28,21:14:45,Samsung Galaxy S21 FE 5G,0 Reviews,IN STOCK,8GB,256GB,4500 mAh,12 MP + 12 MP + 8 MP,32 MP,6.41 inch,,Exynos 2100,"Dual sim, 3G, 4G, 5G, VoLTE, Wi-Fi","White, Lavender, Graphite, Olive",Android 12,,,,Samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 65,000","KSh 59,000"
2024-09-28,21:26:54,Infinix XDM52 USB-A to Micro Cable,0 Reviews,IN STOCK,,,,,,,,,,,,,,,Infinix,,,,,,,,,,,,,,,,,,,1m,USB-A to Micro,2A,White,TPE fireproof material,,,,,,,,,,,,,,,,,,KSh 250,KSh 100
2024-09-28,21:36:17,Itel P65,0 Reviews,IN STOCK,4/6/8GB,,"5000mAh, 18W",,,"6.7-inch, IPS LCD",,,"4G, NFC, Bluetooth, Wi-Fi",,"Android 14, itel OS 14",,,,Itel,,,128/256GB,Unisoc T615 (12 nm),50MP+ Auxiliary Lens,8MP,,,,,,,,,,,,,,,,,,192.4g,,,,,,,,,,,,,,,,,"KSh 18,000","KSh 13,200"
2024-09-28,21:36:35,Itel RS4,0 Reviews,IN STOCK,"8GB, 12GB",,"5000mAh, 45W wired, bypass charging, 80% in 30 mins.",,,"6.56-inch, IPS LCD",,,"4G, NFC, Bluetooth, USB-C,",,Android 13,,,,,,,"128GB, 256GB",Mediatek Helio G99 Ultimate,50MP,8MP,,,,,,,,,,,,,,,,,,198g,,,,,,,,,,,,,,,,,"KSh 23,800",
2024-09-28,21:36:51,Itel A50,0 Reviews,IN STOCK,"2GB, 3GB, 4GB",,"5000mAh, 10W",,,,,,,,Android 14 (Go edition),,,,,,,"64GB, 128GB",Octa-core- Unisoc T603,8MP,5MP,,,,,,,,,,,,,,,,,,,163.9 x 75.7 x 8.7 mm,,,,,,,,,,,,,,,,"KSh 12,000","KSh 10,000"
