Product Name,Category,Price,Short Description,Product URL
Oppo Reno 12F 4G,Oppo,"KSh 40,000
KSh 38,500","Oppo Reno 12F 4G Key Features
RAM: 8GB
Storage: 256GB, 512GB
OS: Android 14, ColorOS 14
Camera: 50MP + 8MP + 2MP
Selfie: 32MP
Display: 6.67 inch, AMOLED,120Hz
Processor: Qualcomm SM6225 Snapdragon 685 (6 nm)
Connectivity: Dual SIM, 3G, 4G, 5G
Colors: Amber Orange, Olive Green, Matte Grey
Battery: 5,000 mAh, 45W",https://www.phoneplacekenya.com/product/oppo-reno-12f-4g/
 Oppo Pad Neo,"Oppo, Tablets","KSh 34,500","Oppo Pad Neo Key Features
RAM: 6GB, 8GB
Internal Memory: 128GB
Chipset: Octa-core, Mediatek Helio G99 (6nm)
Display: 4 inches, IPS LCD
Size: 1 x 188 x 6.9 mm (10.04 x 7.40 x 0.27 in)
Connectivity: 4G, Wi-Fi, Bluetooth
Battery: 8,000 mAh, non-removable
Colors: Gray",https://www.phoneplacekenya.com/product/oppo-pad-neo/
Oppo A3x 4G,Oppo,,"Key Features of Oppo A3x 4G
RAM: 4GB
Internal Memory: 64GB,128GB
Display: 6.67 inches, IPS LCD
OS: Android 14, ColorOS 14
Chipset: Octa-core, Qualcomm Snapdragon 6s Gen 1
Main Camera: 8MP + Auxiliary Lens
Selfie Camera: 5 MP, f/2.2, (wide)
Connectivity: 4G, Bluetooth 5.0, GPS, NFC, USB Type-C
Battery: 5,100mAh, 45W",https://www.phoneplacekenya.com/product/oppo-a3x-4g/
Oppo A3 4G,Oppo,,"Oppo A3 4G Key Features
RAM: 6GB
Internal Memory: 128GB
Display:67 inches, IPS LCD
OS: Android 14, ColorOS 14
Chipset: Octa-core, Qualcomm Snapdragon 6s Gen 1
Main Camera: 50MP + Auxiliary Lens
Selfie Camera: 5 MP, f/2.2, (wide)
Connectivity: 4G, Bluetooth 5.0, GPS, NFC, USB Type-C
Battery: 5,100mAh, 45W",https://www.phoneplacekenya.com/product/oppo-a3-4g/
Oppo Reno 12F 5G,Oppo,"KSh 55,000
KSh 44,500","Oppo Reno 12F 5G Key Features
RAM: 8GB, 12GB
Storage: 256GB, 512GB
OS: Android 14, ColorOS 14
Camera: 50MP + 8MP + 2MP
Selfie: 32MP
Display: 6.67 inch, AMOLED,120Hz
Processor: Mediatek Dimensity 6300 (6 nm)
Connectivity: Dual sim, 3G, 4G, 5G
Colors: Olive Green, Amber Orange
Battery: 5000 mAh, 45W wired, PD2.0",https://www.phoneplacekenya.com/product/oppo-reno-12f-5g/
Oppo Reno 12 5G,Oppo,"KSh 70,500
KSh 63,500","Oppo Reno 12 5G Key Features
RAM: 8GB, 12GB
Storage: 256GB,512GB
OS: Android 14, ColorOS 14.1
Camera: 50MP + 8MP + 2MP
Selfie: 32MP
Display: 6.7 inch, AMOLED,120Hz
Processor: Mediatek Dimensity 7300 Energy (4 nm)
Connectivity: Dual SIM, 3G, 4G, 5G
Colors: Matte Brown, Sunset Pink, Astro Silver
Battery: 5000 mAh, 80W",https://www.phoneplacekenya.com/product/oppo-reno-12-5g/
Oppo A60 4G,Oppo,"KSh 30,000
KSh 29,500","Oppo A60 Key Features and Specifications
RAM: 8GB
Storage: 128GB, 256GB
OS: Android 14, ColorOS 14
Camera: 50MP + 8MP
Selfie: 8MP
Display: 6.67 inch, IPS LCD, 90Hz
Processor: Qualcomm SM6225 Snapdragon 680 4G (6 nm)
Connectivity: Dual SIM, 3G, 4G
Colors: Blue and Purple
Battery: 5,000 mAh, 45W (50% in 30 min)",https://www.phoneplacekenya.com/product/oppo-a60-4g/
Oppo Reno 11 F 5G,Oppo,"KSh 39,500
–
KSh 47,000","Oppo Reno 11 F 5G Key Features and Specifications
RAM: 8GB
Storage: 256GB
OS: Android 14, ColorOS 14
Camera: 64MP + 8MP + 2MP
Selfie: 32MP
Display: 6.7 inch, AMOLED,120Hz
Processor: Mediatek Dimensity 7050 (6 nm)
Connectivity: Dual sim, 3G, 4G, 5G
Colors: Green, Blue and Pink
Battery: 5000 mAh, 67W",https://www.phoneplacekenya.com/product/oppo-reno-11-f/
Oppo Reno 11 Pro 5G,Oppo,"KSh 68,000
KSh 65,000","Oppo Reno 11 Pro 5G Key Features and Specifications
RAM: 12GB
Storage:  512GB
OS: Android 14, ColorOS 14
Camera: 50MP + 32MP + 8MP
Selfie: 32MP
Display: 6.74 inch, AMOLED,120Hz
Processor: Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm)
Connectivity: Dual SIM, 3G, 4G, 5G
Colors: Black, Green, Silver
Battery: 4,700 mAh, 67W",https://www.phoneplacekenya.com/product/oppo-reno-11-pro-5g/
Oppo Reno 11 5G,Oppo,"KSh 70,500
KSh 62,500","Oppo Reno 11 5G Key Features and Specifications
RAM: 12GB
Storage: 256GB
OS: Android 14, ColorOS 14
Camera: 50MP + 32MP + 8MP
Selfie: 32MP
Display: 6.7 inch, AMOLED, 120Hz
Processor: Mediatek Dimensity 8200 (4 nm)
Connectivity: Dual sim, 3G, 4G, 5G
Colors: Black, Green, Silver
Battery: 4,800 mAh, 67W",https://www.phoneplacekenya.com/product/oppo-reno-11-5g/
Oppo A18,Oppo,"KSh 15,000
–
KSh 17,300","Oppo A18 specifications in Kenya
RAM: 4GB
Storage: 128/64GB
Battery: 5,000 mAh
Camera: 8MP + 2MP
Selfie: 5MP
Display: 6.56 inch, IPS LCD,90Hz
Processor: Mediatek MT6769 Helio G85 (12nm)
Connectivity: Dual SIM, 4G, Wi-Fi
Colors: Glowing Black, Glowing Blue
OS: Android 13, ColorOS 13.1",https://www.phoneplacekenya.com/product/oppo-a18/
Oppo A58 4G,Oppo,"KSh 27,000","Oppo A58 4G Specifications in Kenya
RAM: 8GB
Storage: 128GB
Battery: 5,000 mAh with 33W Fast Charging
Main Camera: 50MP + 2MP
Selfie Camera: 8MP
Display: 6.72 inch, IPS LCD, 90Hz
Processor: Octa-core, Mediatek MT6769 Helio G85 (12nm)
Connectivity: Dual sim, 4G, Wi-Fi
Colours: Glowing Black, Dazzling Green
OS: Android 13, ColorOS 13.1",https://www.phoneplacekenya.com/product/oppo-a58-4g/
Oppo A98 5G,Oppo,"KSh 45,500
KSh 39,500","Oppo A98 5G specifications in Kenya
RAM: 8GB
Storage: 256GB
Battery: 5,000 mAh
Camera: 64MP + 2MP+ 2MP
Selfie: 32MP
Display: 6.43 inch, IPS LCD, 120Hz
Processor: Qualcomm Snapdragon 695 5G
Connectivity: Dual sim, 4G, 5G, Wi-Fi
Colors: Cool Black, Dreamy Blue, Bold Gold
OS: Android 13, ColorOS 13.1",https://www.phoneplacekenya.com/product/oppo-a98-5g/
Oppo A78 4G,Oppo,"KSh 35,000
KSh 32,500","Oppo A78 4G specifications in Kenya
RAM: 8GB
Storage:  256GB
Battery: 5,000 mAh, 67W
Camera: 50MP + 2MP
Selfie: 8MP
Display6.43-inch AMOLED, 90Hz, 430 nits
Processor: Qualcomm SM6225 Snapdragon 680 4G (6 nm)
Connectivity: Dual sim, 4G, Wi-Fi
Colors: Mist Black, Aqua Green
OS: Android 13, ColorOS 13.1",https://www.phoneplacekenya.com/product/oppo-a78-4g/
Oppo A38,Oppo,,"Oppo A38 specifications in Kenya
RAM: 4/6GB
Storage: 128GB
Battery: 5000 mAh
Camera: 50MP + 2MP
Selfie: 5MP
Display: 6.56 inch, IPS LCD, 90Hz
Processor: Mediatek Helio G85
Connectivity: Dual sim, 4G, 5G, Wi-Fi
Colors: Glowing Black, Glowing Gold
OS: Android 13, ColorOS 13.1",https://www.phoneplacekenya.com/product/oppo-a38/
Oppo Reno 10 5G,Oppo,"KSh 58,000
KSh 55,000","Oppo Reno 10 5G features and specs
RAM: 8GB
Storage: 128GB, 256GB
Battery: 5000 mAh, 67W
Camera: 64MP + 32MP + 8MP
Selfie: 32MP
Display: 6.7 inch, AMOLED,120Hz
Processor: Mediatek  Dimensity 7050
Connectivity: Dual sim, 3G, 4G, 5G
Colors: Silvery Grey, Ice Blue
OS: Android 13, ColorOS 13",https://www.phoneplacekenya.com/product/oppo-reno-10-5g/
Oppo Reno 10 Pro 5G,Oppo,"KSh 68,000
KSh 65,000","Oppo Reno 10 Pro 5G features and specs
RAM: 12GB
Storage: 256GB
Battery: 4,600 mAh, 80W
Camera: 50MP + 32MP + 8MP
Selfie: 32MP
Display: 6.74 inch, AMOLED, 120Hz
Processor: Qualcomm Snapdragon 778G 5G
Connectivity: Dual SIM, 2G, 3G, 4G, 5G
Colors: Silvery Grey, Glossy Purple
OS: Android 13, ColorOS 13",https://www.phoneplacekenya.com/product/oppo-reno-10-pro-5g/
Oppo A58,Oppo,,"Oppo A58 specifications in Kenya
RAM: 6GB, 8GB
Storage: 128GB
Battery: 5000 mAh, 33W
Main Camera: 50MP + 2MP
Selfie: 8MP
Display: 6.72 inch, IPS LCD, 90Hz
Processor: MediaTek Helio G85
Connectivity: Dual sim, 4G, Wi-Fi
Colors: Glowing Black, Dazzling Green
OS: Android 13, ColorOS 13.1",https://www.phoneplacekenya.com/product/oppo-a58/
